Selecione de qual grupo PET faz parte:	GRR	1. Qual a frequência da tutora ou do tutor nas reuniões do grupo?	2. Qual a frequência da tutora ou do tutor nos eventos/atividades do PET?	 3. A tutora ou o tutor incentiva a participação em eventos nacionais e regionais do PET?	 4. A tutora ou o tutor cumpre com seus afazeres dentro dos prazos?	5. Quão disponível é a tutora ou o tutor para fazer orientação individualizada sobre aspectos acadêmicos e pessoais as alunas e os alunos?	6. A aplicação da verba de custeio é discutida com o grupo?	7. A tutora ou o tutor participa e não apenas delega tarefas?	8. A tutora ou o tutor compartilha as normativas do programa com as alunas e os alunos, bem com atualizações referentes ao programa?	9. A tutora ou o tutor respeita ideologias que diferem das suas, desde que não firam princípios contidos na declaração de direitos humanos bem como na constituição da República Federativa do Brasil?	10. A tutora ou o tutor é receptivo a sugestões das e dos petianos para projetos de ensino, pesquisa e extensão do grupo?	11. A tutora ou o tutor planeja as atividades do grupo juntamente com os petianos?	 12. A tutora ou o tutor supervisiona e orienta as ações dos integrantes do grupo?	13. A tutora ou o tutor promove discussões sobre condutas éticas que auxiliem na formação do petianos?	14. A tutora ou o tutor aplica adequadamente as consequências previstas para o descumprimento das obrigações do termo de compromisso e tarefas designadas por deliberações coletivas do grupo?	15. A tutora ou o tutor, de alguma forma, favorece alguma ou algum petiano em detrimento de outros?	16. A tutora ou o tutor se mostra proativo para buscar, junto a instâncias superiores e colegas de trabalho, soluções para suprir demandas materiais e administrativas do grupo?	17. Avalie outras dimensões, categorias ou indicadores ou faça comentários adicionais.	18. Avalie esse instrumento.
Química	20165548	Sempre	Raramente	Sempre	Sempre	Frequentemente	Sempre	Raramente	Sempre	Sempre	Frequentemente	Às vezes	Frequentemente	Raramente	Às vezes	Às vezes	Sempre		
Engenharia Civil	20162689	Sempre	Sempre	Não sei	Sempre	Sempre	Sempre	Sempre	Não sei	Sempre	Sempre	Sempre	Sempre	Sempre	Não sei	Nunca	Sempre	Tutor recém-ingresso, mas com muita disposição e pró atividade.	
Ciências Sociais	20133257	Frequentemente	Frequentemente	Às vezes	Raramente	Raramente	Sempre	Raramente	Frequentemente	Às vezes	Às vezes	Frequentemente	Frequentemente	Nunca	Não sei	Sempre	Raramente		Ótima iniciativa, mas as formulações de algumas questões estão bastante confusas.
Química	20145272	Sempre	Nunca	Sempre	Sempre	Sempre	Sempre	Nunca	Às vezes	Sempre	Sempre	Frequentemente	Raramente	Raramente	Às vezes	Às vezes	Sempre		
Química	20144639	Sempre	Nunca	Sempre	Frequentemente	Nunca	Sempre	Nunca	Frequentemente	Frequentemente	Sempre	Sempre	Raramente	Raramente	Frequentemente	Sempre	Nunca	É muito esforçada, apesar de tudo. 	Muito útil.
Direito	20133868	Sempre	Sempre	Frequentemente	Sempre	Sempre	Sempre	Sempre	Frequentemente	Sempre	Sempre	Sempre	Sempre	Frequentemente	Às vezes	Raramente	Sempre	Uma tutora extremamente diligente e criativa e que melhorou em muito o PET direito, tornando-o um grupo que dá pra se orgulhar de fazer parte.	Excelente, foi capaz de abranger a maior parte dos âmbitos de avaliação objetiva do tutor de forma sucinta e clara
Ciências Sociais	20157912	Sempre	Frequentemente	Sempre	Frequentemente	Frequentemente	Sempre	Às vezes	Frequentemente	Sempre	Sempre	Sempre	Sempre	Frequentemente	Sempre	Nunca	Às vezes		Ótimo 
Direito	20133271	Sempre	Frequentemente	Frequentemente	Sempre	Sempre	Sempre	Sempre	Frequentemente	Sempre	Sempre	Sempre	Frequentemente	Frequentemente	Às vezes	Nunca	Sempre		
Engenharia Civil	20152629	Sempre	Sempre	Frequentemente	Sempre	Frequentemente	Sempre	Sempre	Às vezes	Sempre	Sempre	Sempre	Às vezes	Frequentemente	Sempre	Nunca	Sempre		
Filosofia	20131210	Sempre	Às vezes	Não se aplica	Frequentemente	Às vezes	Não se aplica	Raramente	Às vezes	Frequentemente	Sempre	Frequentemente	Frequentemente	Não se aplica	Não sei	Nunca	Frequentemente		
Ciências Sociais	20153455	Frequentemente	Às vezes	Às vezes	Raramente	Sempre	Sempre	Às vezes	Às vezes	Sempre	Sempre	Sempre	Sempre	Frequentemente	Frequentemente	Nunca	Raramente		
Engenharia Civil	20150925	Sempre	Sempre	Não se aplica	Sempre	Sempre	Não se aplica	Sempre	Não se aplica	Sempre	Sempre	Sempre	Sempre	Não se aplica	Não se aplica	Nunca	Sempre		
História	GRR20164078	Sempre	Frequentemente	Não sei	Sempre	Não sei	Raramente	Frequentemente	Nunca	Raramente	Sempre	Frequentemente	Raramente	Nunca	Nunca	Não sei	Às vezes		
História	20158263	Sempre	Frequentemente	Não se aplica	Sempre	Raramente	Não se aplica	Às vezes	Sempre	Nunca	Às vezes	Às vezes	Frequentemente	Raramente	Sempre	Nunca	Raramente	"O Tutor não estabelece uma comunicação saudável com os alunos. Vemos que em vários e-mails trocados, principalmente quando há um pedido do grupo para que algo seja feito de forma diferente, ou mesmo quando o Tutor prevê a não realização de alguma atividade, o mesmo toma uma postura agressiva e ameaçadora para falar com os petianos. Além disso, utiliza da página do PET no Facebook para o que consideramos auto-promoção, visto que lá divulga ações suas que não estão vinculadas ao PET - a questão já foi colocada para o Tutor pelos alunos e ele rapidamente tomou uma postura defensiva, alegando que como todo o grupo se sentia desconfortável com a situação ele apagaria a postagem, mas não o fez. Outra coisa preocupante é o comportamento ético do professor. O mesmo já tem um histórico ruim em relação à postagens em redes sociais, em perfis de alunos, nas quais toma posicionamentos machistas, o qual vemos se refletir nas reuniões. Penso que o professor Tutor ainda não entendeu que o PET funciona como um coletivo, de maneira democrática onde todos contribuem para as atividades e propostas de atividades. Até por isso, trata o PET como um grupo deslocado do resto do curso, que teria privilégios em relação ao resto dos estudantes do curso, questão da qual discordamos visto que não nos consideramos um grupo especial (ou de ""elite"", como sabemos que o PET já foi considerado, e posição na qual o Tutor insiste) e queremos que o PET tenha acesso a toda a comunidade acadêmica, na esperança de que os outros estudantes também se interesse pelo grupo e pelo nosso trabalho, enquanto grupo que realiza atividades úteis à toda a comunidade curitibana e não só em prol dos privilegiados. "	O formulário é um bom método de avaliação, principalmente por ser anônimo, o que impediria perseguições por parte dos tutores em relação aos alunos. Espero que realmente dê resultados. 
Engenharia Civil	20163965	Sempre	Não sei	Não sei	Não sei	Frequentemente	Sempre	Sempre	Não sei	Sempre	Sempre	Sempre	Sempre	Não sei	Não sei	Nunca	Não sei		
História	GRR20156029	Frequentemente	Às vezes	Às vezes	Frequentemente	Raramente	Frequentemente	Raramente	Frequentemente	Nunca	Raramente	Raramente	Raramente	Nunca	Não sei	Às vezes	Raramente	"O tutor possui e pratica constantemente uma postura de intimidação e total falta de respeito para com os e as integrantes do grupo. Demonstra total desconhecimento de algumas atividades que há muito já são realizadas e, principalmente, total desconhecimento das e dos próprios integrantes do grupo, para com os quais não busca aproximação, muito pelo contrário, afasta a cada comentário intimidador e preconceituoso. 
Possui ainda uma postura extremamente autoritária, o que fere gravemente as bases do programa. Desde o processo de seleção de tutoria, apresentou um programa totalmente enfaixado, definido unica e exclusivamente por ele, inclusive, demonstrando total desconhecimento de diversas atividades que já eram realizadas, e não deixando espaço para a participação dos demais integrantes para uma futura formulação conjunta de atividades. 
Se fosse para definir a atual tutoria em algumas palavras chaves seriam: intimidador, intolerante, ignorante, autoritário. "	Espero que sejam tomadas atitudes a partir disso. 
Engenharia Civil	20154686	Sempre	Sempre	Não se aplica	Sempre	Sempre	Sempre	Sempre	Frequentemente	Sempre	Sempre	Sempre	Frequentemente	Às vezes	Sempre	Nunca	Frequentemente	O nosso tutor é novo, então não tivemos como avaliar ele muito bem, mas a situação é promissora	Dependerá como os dados serão utilizados, mas gostei da iniciativa
Engenharia Civil	20134740	Sempre	Frequentemente	Não se aplica	Frequentemente	Frequentemente	Sempre	Sempre	Não se aplica	Frequentemente	Sempre	Sempre	Sempre	Não se aplica	Não se aplica	Não sei	Frequentemente		
Litoral Social	2015	Frequentemente	Frequentemente	Não se aplica	Frequentemente	Não sei	Não se aplica	Às vezes	Frequentemente	Raramente	Raramente	Frequentemente	Às vezes	Nunca	Às vezes	Não sei	Raramente	O tutor do PET apresenta uma relação pouco amistosa com os integrantes do grupo, e é notável que nem ao menos aplica o mínimo esforço para mudar tal situação. A troca de tutor, realizada em agosto, foi um período conturbado para os alunos que integram o PET História, devido principalmente a alguns comportamentos do novo tutor e sua relação com as tutorias anteriores. O grupo não consegue estabelecer um diálogo saudável com a nova tutoria, em muitos casos há a presença de uma postura agressiva por parte do tutor, seja ela ligada a pensamentos divergentes ou à realização de atividades do grupo. O tutor infla a todo momento a ideia de que o programa comporta a elite acadêmica do curso, aspecto que trata como periféricos muitos outros âmbitos da graduação, e isola cada vez mais o PET dos demais programas e alunos do curso. O tutor também possui um posicionamento machista em alguns comentários em redes sociais e nas reuniões do grupo.	
Ciências Sociais	20130047	Frequentemente	Frequentemente	Às vezes	Frequentemente	Frequentemente	Às vezes	Frequentemente	Às vezes	Sempre	Frequentemente	Sempre	Frequentemente	Sempre	Frequentemente	Nunca	Frequentemente		
História	20146533	Frequentemente	Frequentemente	Raramente	Frequentemente	Raramente	Não se aplica	Às vezes	Às vezes	Raramente	Raramente	Às vezes	Às vezes	Nunca	Raramente	Frequentemente	Raramente	"Ao ser aprovado o professor Dennison como tutor, os petianos de história já alertamos o CLAA acerca de condutas eticamente reprováveis por parte do professor Dennison. Portanto, não me aterei aos comportamentos anteriores, listando somente algumas atitudes do professor após sua aprovação na seleção:

1 - De imediato, o professor Dennison desligou duas integrantes do PET. Para além dos motivos, cabe ressaltar que o professor em nenhum momento tomou a iniciativa de entrar em contato com as duas estudantes em questão, sequer para comunicar do desligamento (elas souberam através dos outros integrantes), em atitude no mínimo desrespeitosa. Uma das alunas foi desligada por ter 2 reprovações, motivo que ainda que esteja previsto no regulamento, sabemos que não é seguido em muitos grupos PET e é compreensível que seja relativizado pedagogicamente. O professor, no entanto, não buscou saber o motivo das reprovações, afinal sequer procurou a aluna para comunicar o desligamento. Acrescenta-se que a aluna em questão fora a representante do grupo na banca de seleção, o que levanta suspeitas de retaliação por parte do professor (a banca lhe deu notas baixas na entrevista, ele só foi aprovado devido a nota no currículo). O caso da outra estudante é ainda mais grave, pois verificando junto ao CLAA (atitude tomada pela aluna, não pelo professor), concluiu-se que o motivo do desligamento era inválido (a estudante é do curso noturno, o qual a partir desse ano pode participar do PET). O professor reintegrou a estudante ao grupo, porém sequer pediu desculpas pela sua atitude.

 2 - O professor demonstra desconhecer as atividades realizadas pelo grupo e, quando as descobre, sempre arruma uma maneira de atacar a gestão anterior, seja com justificativas cabíveis ou muitas vezes extremamente forçadas. É de conhecimento geral que o professor Dennison nutre antipatia pela tutora anterior. Nós alunos não temos a ver com essa inimizade, mas é inadmissível que ela prejudique o andamento das atividades do PET. Dessa forma, o professor provoca uma descontinuidade nas atividades ainda durante o ano (afinal, estamos ainda na vigência do planejamento feito no início do ano) e cria um clima de tensão totalmente desnecessário e prejudicial. 

3 - O professor Dennison adota em relação à coisas que lhe desagradam uma postura agressiva e impositiva. Dessa forma, é claramente observável que muitos integrantes do grupo se sentem intimidados nas reuniões. Ele constantemente ameaça, ora de forma velada ora de forma explícita, os alunos de desligamento. Acredito que esse clima tenso seja extremamente improdutivo.

4 - O professor trata a relação do PET-História com outros PETs ou demais grupos de pesquisa e trabalho em clima de competição. Acredito que a produção de conhecimento seja mais válida em clima de cooperação. 

5 - O professor Dennison estimula que o grupo se organize hierarquicamente. Sempre temos nos organizado de forma mais horizontal, o que também é bem mais compatível com a concepção de educação tutorial. O professor procura impor a forma de organização em que acredita ao restante do grupo de forma autoritária.

6 - O professor utilizou das mídias de divulgação do PET-História (página no facebook e blog) como meios de auto-promoção, divulgando, sem consulta prévia ao grupo, uma atividade realizada por ele como indivíduo (sem nenhum outro integrante do grupo) e não como parte das funções de tutor do PET. Acreditamos que as mídias do PET devem ser utilizadas para divulgação das atividades do grupo PET, por mais louváveis que sejam as atividades individuais dele. Muitos integrantes do grupo também realizam atividades interessantes a nível individual (deslocadas das atividades do PET), mas não há sentido nenhum em usar a página do PET para divulgação delas, salvo caso o grupo, em decisão coletiva, considerasse a divulgação pertinente. Alertado sobre a inconveniência de sua atitude (o grupo foi praticamente unânime na opinião de que não deveria usar a página para isso), o professor reagiu com bastante incompreensão e agressividade. Ao final, anunciou que iria então retirar a publicação. Porém, não o fez até agora, algumas semanas depois. Assim, demonstra que além de ter se utilizado das mídias do grupo, o professor Dennison ainda desrespeitou a opinião coletiva dos integrantes do PET.


Como resultado desse conjunto de comportamentos, entre outros, o ambiente das reuniões do PET tem sido bastante tenso. Também não temos motivação para além da bolsa, em tal ambiente de trabalho, para realizar qualquer coisa além do mínimo necessário, vigorando a lei do mínimo esforço. Mesmo nessas atividades, temos procurado realiza-las na medida do possível sem a participação do tutor, de modo a evitar experiências desagradáveis. Dessa forma, o volume e a qualidade das atividades do PET tem decaído rapidamente, em processo que tende somente a se agravar em caso da continuidade do professor Dennison no cargo. Tendo em vista que, logo da aprovação do professor no processo seletivo o grupo entregou uma carta ao CLAA manifestando sua preocupação, as consequencias que estão sendo observadas não nos surpreendem.  Por isso, faz-se urgente que o CLAA tome uma atitude enérgica, afastando o professor Dennison do cargo de tutor do PET-História."	Espero que sejam tomadas ações mas respeitado o sigilo
Engenharia Elétrica	20155213	Sempre	Às vezes	Às vezes	Frequentemente	Frequentemente	Sempre	Frequentemente	Raramente	Sempre	Sempre	Frequentemente	Às vezes	Às vezes	Frequentemente	Nunca	Frequentemente		
Ciências Sociais	20130246	Frequentemente	Às vezes	Nunca	Frequentemente	Frequentemente	Sempre	Às vezes	Raramente	Sempre	Sempre	Sempre	Frequentemente	Frequentemente	Frequentemente	Nunca	Às vezes		
Ciências Sociais	20154449	Sempre	Raramente	Nunca	Frequentemente	Sempre	Sempre	Sempre	Às vezes	Sempre	Sempre	Frequentemente	Sempre	Raramente	Às vezes	Nunca	Nunca		Extremamente útil e importante.
Ciências Sociais	20133803	Frequentemente	Nunca	Às vezes	Às vezes	Às vezes	Sempre	Raramente	Às vezes	Sempre	Sempre	Frequentemente	Sempre	Frequentemente	Não sei	Nunca	Às vezes	Poderia haver uma questão diretamente sobre o relacionamento interpessoal entre petianos e tutor (a).	Bom
Química	GRR20141142	Frequentemente	Nunca	Às vezes	Sempre	Nunca	Sempre	Nunca	Não sei	Frequentemente	Frequentemente	Sempre	Nunca	Nunca	Não se aplica	Sempre	Raramente	Professora não motiva os petianos e deixa todo o trabalho para o grupo, além de aproveitar oportunidades que os petianos conseguem para o PET para sua própria atividade de extensão.	ótimo, mas poderia conter a frequência do tutor na sala do PET 
Ciências Sociais	20158017	Frequentemente	Às vezes	Raramente	Às vezes	Às vezes	Às vezes	Raramente	Às vezes	Sempre	Frequentemente	Sempre	Frequentemente	Às vezes	Frequentemente	Às vezes	Frequentemente		Bom,  contempla todos os aspectos relevantes. 
Química	20132842	Sempre	Às vezes	Frequentemente	Frequentemente	Frequentemente	Sempre	Frequentemente	Frequentemente	Sempre	Sempre	Frequentemente	Frequentemente	Às vezes	Frequentemente	Não se aplica	Às vezes		
Engenharia Industrial Madeireira	20154794	Sempre	Sempre	Sempre	Sempre	Frequentemente	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Frequentemente	Às vezes	Frequentemente	Não sei	Frequentemente		
Ciências Sociais	GRR20158470	Sempre	Frequentemente	Frequentemente	Às vezes	Frequentemente	Não sei	Às vezes	Às vezes	Sempre	Sempre	Frequentemente	Às vezes	Sempre	Não sei	Nunca	Sempre		Este instrumento deveria ser institucionalizado, servindo como avaliação dos tutores
Química	20144364	Sempre	Raramente	Sempre	Sempre	Nunca	Sempre	Às vezes	Às vezes	Sempre	Sempre	Às vezes	Raramente	Nunca	Frequentemente	Nunca	Sempre		
Química	GRR20141505	Sempre	Raramente	Frequentemente	Sempre	Raramente	Sempre	Frequentemente	Sempre	Sempre	Frequentemente	Sempre	Frequentemente	Frequentemente	Frequentemente	Raramente	Frequentemente		
Engenharia Elétrica	20162840	Sempre	Sempre	Frequentemente	Frequentemente	Às vezes	Sempre	Frequentemente	Frequentemente	Sempre	Sempre	Sempre	Sempre	Às vezes	Sempre	Nunca	Sempre	Não creio que seja uma competência do tutor do PET estar fazendo orientação individualizada, plano de carreira e afins. Talvez seja um questionamento embasado em algo que contrarie alguma portaria por mim desconhecida, mas tal papel é o de um orientador de iniciação científica. Como o PET possui um caráter de apoio á pesquisa, não vejo o porquê de se delegar tal competência ao tutor do PET. 	De modo geral, foi suficientemente abrangente. 
Química	20133046	Sempre	Às vezes	Sempre	Frequentemente	Raramente	Sempre	Às vezes	Frequentemente	Frequentemente	Frequentemente	Frequentemente	Às vezes	Às vezes	Frequentemente	Não sei	Frequentemente		Muito bom
Engenharia Industrial Madeireira	20158509	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Frequentemente	Sempre	Nunca	Sempre		
Direito	GRR20140375	Sempre	Sempre	Raramente	Sempre	Às vezes	Sempre	Sempre	Frequentemente	Sempre	Sempre	Sempre	Frequentemente	Raramente	Às vezes	Nunca	Sempre		Muito bom
Engenharia Industrial Madeireira	20000000	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Frequentemente	Frequentemente	Nunca	Frequentemente		
Comunidades do Campo	GLR20130743	Às vezes	Frequentemente	Sempre	Frequentemente	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Frequentemente	Frequentemente	Às vezes	Nunca	Frequentemente		Adorei esse instrumento, ele aborda uma gestão participativa e aprecia demandas antes não vistas no PET. A presença do CLAA é de suma importância para o PET, para que  permaneça forte e com objetivos claros frente a muitas mudanças que estão a ocorrer nesse cenário político e econômico.  Parabéns pela proposta e que sempre estejam entusiasmados para lutar pela permanência do programa que proporciona muitos conhecimentos tanto para os petianos como tutores.
Comunidades do Campo	20155233	Raramente	Às vezes	Sempre	Frequentemente	Sempre	Sempre	Frequentemente	Às vezes	Raramente	Sempre	Sempre	Frequentemente	Nunca	Às vezes	Nunca	Frequentemente		10/10
Litoral Social	GLR 20123695	Frequentemente	Às vezes	Sempre	Sempre	Sempre	Sempre	Frequentemente	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Não sei	Frequentemente		
Farmácia	20141723	Sempre	Frequentemente	Frequentemente	Sempre	Frequentemente	Sempre	Sempre	Frequentemente	Sempre	Sempre	Sempre	Às vezes	Às vezes	Não se aplica	Não se aplica	Às vezes		Bom
Comunidades do Campo	20167152	Frequentemente	Sempre	Sempre	Sempre	Frequentemente	Sempre	Sempre	Frequentemente	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Nunca	Sempre	A tutora do PET CC, busca auxiliar seus petianos com muito empenho e comprometimento. Se faz presente sempre quando necessário e ao mesmo tempo nos instiga a buscar e produzir conhecimento.	Perfeita iniciativa para que possa se iniciar um ciclo de avaliação para melhoria dos programas e de nossos tutores. Questionário específico e de fácil entendimento. 
Farmácia	20141722	Sempre	Sempre	Sempre	Sempre	Frequentemente	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Frequentemente	Frequentemente	Não sei	Nunca	Frequentemente		
Engenharia Química	20155271	Frequentemente	Raramente	Sempre	Sempre	Não sei	Sempre	Sempre	Frequentemente	Sempre	Sempre	Às vezes	Frequentemente	Às vezes	Não sei	Nunca	Frequentemente		Acredito que é bem completo
Engenharia Elétrica	20141479	Sempre	Frequentemente	Sempre	Sempre	Frequentemente	Sempre	Às vezes	Frequentemente	Sempre	Sempre	Sempre	Frequentemente	Às vezes	Não sei	Nunca	Sempre		
Química	20130858	Sempre	Raramente	Sempre	Frequentemente	Não sei	Frequentemente	Raramente	Às vezes	Não sei	Frequentemente	Frequentemente	Às vezes	Raramente	Raramente	Nunca	Às vezes		
Estatística	20159897	Sempre	Sempre	Frequentemente	Às vezes	Às vezes	Sempre	Frequentemente	Sempre	Sempre	Sempre	Sempre	Sempre	Às vezes	Às vezes	Às vezes	Sempre		Ainda dá para melhorar mas de imediato ele é bom.
Engenharia Industrial Madeireira	20166599	Sempre	Sempre	Sempre	Frequentemente	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Não se aplica	Frequentemente		
Matemática	20159132	Frequentemente	Sempre	Frequentemente	Sempre	Sempre	Sempre	Frequentemente	Às vezes	Sempre	Sempre	Sempre	Frequentemente	Sempre	Sempre	Nunca	Sempre		
Engenharia Química	20167101	Sempre	Frequentemente	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Nunca	Sempre		
Farmácia	20142543	Sempre	Frequentemente	Sempre	Frequentemente	Frequentemente	Não se aplica	Sempre	Frequentemente	Sempre	Sempre	Não se aplica	Frequentemente	Às vezes	Não se aplica	Nunca	Sempre	Tutora nova.	Bom!
Química	20143769	Sempre	Raramente	Frequentemente	Frequentemente	Raramente	Sempre	Nunca	Frequentemente	Sempre	Às vezes	Sempre	Nunca	Raramente	Às vezes	Frequentemente	Sempre		O questionário está ótimo, pois abrange, de maneira clara, o papel que o tutor deve desempenhar. 
Engenharia Industrial Madeireira	GRR20140982	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Não se aplica	Não se aplica	Sempre		
Engenharia Industrial Madeireira	20101588	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Às vezes	Sempre	Nunca	Frequentemente		
Engenharia Civil	20154802	Frequentemente	Frequentemente	Sempre	Sempre	Sempre	Frequentemente	Não sei	Não sei	Sempre	Sempre	Não se aplica	Não se aplica	Não sei	Não sei	Nunca	Sempre	O tutor entrou no grupo a pouco tempo	
Matemática	20160250	Sempre	Sempre	Sempre	Sempre	Sempre	Não sei	Sempre	Não sei	Sempre	Sempre	Sempre	Sempre	Frequentemente	Não sei	Nunca	Sempre		
Ciência da Computação	20163049	Frequentemente	Às vezes	Frequentemente	Frequentemente	Frequentemente	Sempre	Sempre	Às vezes	Frequentemente	Sempre	Sempre	Frequentemente	Frequentemente	Frequentemente	Nunca	Frequentemente		
Ciência da Computação	20165313	Frequentemente	Raramente	Sempre	Frequentemente	Frequentemente	Não se aplica	Frequentemente	Raramente	Sempre	Sempre	Frequentemente	Raramente	Frequentemente	Não se aplica	Nunca	Às vezes		
Ciência da Computação	20154004	Frequentemente	Nunca	Nunca	Frequentemente	Raramente	Não se aplica	Frequentemente	Nunca	Sempre	Sempre	Sempre	Às vezes	Frequentemente	Frequentemente	Nunca	Às vezes		
Ciência da Computação	GRR20166359	Sempre	Frequentemente	Frequentemente	Frequentemente	Frequentemente	Não se aplica	Frequentemente	Frequentemente	Sempre	Sempre	Frequentemente	Sempre	Frequentemente	Não sei	Não sei	Frequentemente		
Ciência da Computação	GRR20163065	Frequentemente	Frequentemente	Sempre	Frequentemente	Às vezes	Não se aplica	Sempre	Sempre	Sempre	Sempre	Sempre	Frequentemente	Às vezes	Frequentemente	Não sei	Sempre		
Ciência da Computação	GRR20167282	Frequentemente	Frequentemente	Frequentemente	Frequentemente	Frequentemente	Sempre	Frequentemente	Às vezes	Sempre	Sempre	Frequentemente	Frequentemente	Frequentemente	Frequentemente	Não sei	Sempre		
Ciência da Computação	20153190	Frequentemente	Raramente	Frequentemente	Às vezes	Às vezes	Não se aplica	Frequentemente	Raramente	Sempre	Sempre	Frequentemente	Às vezes	Frequentemente	Às vezes	Nunca	Frequentemente		
Ciência da Computação	20135427	Às vezes	Raramente	Às vezes	Às vezes	Às vezes	Sempre	Frequentemente	Às vezes	Sempre	Sempre	Sempre	Sempre	Às vezes	Sempre	Nunca	Raramente		
Engenharia Elétrica	20166386	Sempre	Frequentemente	Sempre	Frequentemente	Frequentemente	Frequentemente	Às vezes	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Às vezes	Nunca	Sempre		
Ciência da Computação	201583388	Às vezes	Frequentemente	Frequentemente	Sempre	Raramente	Não sei	Às vezes	Frequentemente	Sempre	Sempre	Às vezes	Nunca	Raramente	Não sei	Nunca	Às vezes		Muito bom, porém senti dificuldade em responder algumas perguntas com uma das opções dadas.
Ciência da Computação	20163054	Sempre	Frequentemente	Frequentemente	Frequentemente	Não se aplica	Não se aplica	Sempre	Frequentemente	Sempre	Sempre	Frequentemente	Sempre	Às vezes	Frequentemente	Nunca	Sempre		
Ciências Sociais	GRR20155221	Sempre	Às vezes	Não sei	Às vezes	Não sei	Não sei	Às vezes	Não sei	Sempre	Sempre	Não sei	Frequentemente	Não sei	Não sei	Às vezes	Não sei		
Ciências Sociais	20140252	Frequentemente	Às vezes	Raramente	Às vezes	Frequentemente	Sempre	Às vezes	Frequentemente	Sempre	Sempre	Sempre	Frequentemente	Às vezes	Não se aplica	Nunca	Às vezes		Boas questões colocadas.
Engenharia Elétrica	GRR20162839	Sempre	Às vezes	Frequentemente	Sempre	Frequentemente	Sempre	Sempre	Frequentemente	Sempre	Sempre	Sempre	Sempre	Raramente	Sempre	Não se aplica	Sempre		
Farmácia	GRR20124388	Sempre	Frequentemente	Frequentemente	Frequentemente	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Frequentemente	Frequentemente	Nunca	Sempre		Avaliação superficial, porém estamos evoluindo. 
Farmácia	20147994	Frequentemente	Frequentemente	Às vezes	Às vezes	Frequentemente	Sempre	Frequentemente	Às vezes	Raramente	Frequentemente	Sempre	Às vezes	Raramente	Não se aplica	Não sei	Nunca		"Ótimo, principalmente em manter ""as portas abertas"" a novas alterações"
Engenharia Florestal	20132700	Sempre	Sempre	Frequentemente	Frequentemente	Frequentemente	Sempre	Sempre	Frequentemente	Sempre	Frequentemente	Frequentemente	Sempre	Frequentemente	Frequentemente	Nunca	Frequentemente		
Engenharia Florestal	GRR20136368	Sempre	Sempre	Frequentemente	Frequentemente	Frequentemente	Sempre	Sempre	Frequentemente	Sempre	Frequentemente	Sempre	Frequentemente	Às vezes	Às vezes	Nunca	Frequentemente		
Litoral Social	20164668	Frequentemente	Sempre	Frequentemente	Sempre	Sempre	Frequentemente	Frequentemente	Sempre	Sempre	Às vezes	Sempre	Sempre	Sempre	Sempre	Não sei	Sempre		
Engenharia Florestal	20154684	Sempre	Frequentemente	Frequentemente	Sempre	Sempre	Frequentemente	Frequentemente	Frequentemente	Sempre	Sempre	Frequentemente	Frequentemente	Frequentemente	Frequentemente	Nunca	Frequentemente		
Ciência da Computação	20140605	Frequentemente	Às vezes	Frequentemente	Frequentemente	Raramente	Não se aplica	Às vezes	Frequentemente	Frequentemente	Frequentemente	Frequentemente	Raramente	Raramente	Não se aplica	Não sei	Frequentemente		
Engenharia Florestal	20137162	Sempre	Sempre	Às vezes	Frequentemente	Sempre	Sempre	Sempre	Às vezes	Sempre	Sempre	Frequentemente	Frequentemente	Sempre	Frequentemente	Nunca	Sempre		Bom.
Engenharia Florestal	20131695	Sempre	Sempre	Às vezes	Frequentemente	Às vezes	Sempre	Sempre	Frequentemente	Sempre	Frequentemente	Sempre	Frequentemente	Frequentemente	Às vezes	Nunca	Sempre		
Filosofia	20153572	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Nunca	Sempre		
Farmácia	20144109	Sempre	Às vezes	Sempre	Frequentemente	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Frequentemente	Sempre	Sempre	Frequentemente	Nunca	Sempre		
