Selecione de qual grupo PET faz parte:	GRR	1. Qual a frequência da tutora ou do tutor nas reuniões do grupo?	2. Qual a frequência da tutora ou do tutor nos eventos/atividades do PET?	 3. A tutora ou o tutor incentiva a participação em eventos nacionais e regionais do PET?	 4. A tutora ou o tutor cumpre com seus afazeres dentro dos prazos?	5. Quão disponível é a tutora ou o tutor para fazer orientação individualizada sobre aspectos acadêmicos e pessoais as alunas e os alunos?	6. A aplicação da verba de custeio é discutida com o grupo?	7. A tutora ou o tutor participa e não apenas delega tarefas?	8. A tutora ou o tutor compartilha as normativas do programa com as alunas e os alunos, bem com atualizações referentes ao programa?	9. A tutora ou o tutor respeita ideologias que diferem das suas, desde que não firam princípios contidos na declaração de direitos humanos bem como na constituição da República Federativa do Brasil?	10. A tutora ou o tutor é receptivo a sugestões das e dos petianos para projetos de ensino, pesquisa e extensão do grupo?	11. A tutora ou o tutor planeja as atividades do grupo juntamente com os petianos?	 12. A tutora ou o tutor supervisiona e orienta as ações dos integrantes do grupo?	13. A tutora ou o tutor promove discussões sobre condutas éticas que auxiliem na formação do petianos?	14. A tutora ou o tutor aplica adequadamente as consequências previstas para o descumprimento das obrigações do termo de compromisso e tarefas designadas por deliberações coletivas do grupo?	15. A tutora ou o tutor, de alguma forma, favorece alguma ou algum petiano em detrimento de outros?	16. A tutora ou o tutor se mostra proativo para buscar, junto a instâncias superiores e colegas de trabalho, soluções para suprir demandas materiais e administrativas do grupo?	17. Avalie outras dimensões, categorias ou indicadores ou faça comentários adicionais.	18. Avalie esse instrumento.
Engenharia Química	20148895	Sempre	Às vezes	Frequentemente	Frequentemente	Frequentemente	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Às vezes	Não se aplica	Não se aplica	Nunca	Frequentemente		
Psicologia	20157772	Sempre	Frequentemente	Sempre	Frequentemente	Frequentemente	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Frequentemente	Sempre	Nunca	Sempre		
Litoral Social	GRR20157939	Sempre	Frequentemente	Sempre	Sempre	Frequentemente	Não se aplica	Às vezes	Sempre	Sempre	Sempre	Sempre	Frequentemente	Frequentemente	Não se aplica	Não sei	Sempre	Muito bom	Muito bom, porém em algumas questões falta mais clareza e objetividade. Questão 14
Geologia	GRR20147795	Sempre	Sempre	Sempre	Sempre	Frequentemente	Sempre	Sempre	Sempre	Sempre	Às vezes	Sempre	Sempre	Frequentemente	Sempre	Nunca	Sempre	"Tutor muito participativo, tanto em eventos do próprio grupo, quanto em eventos administrativos (reuniões do CLAA) e em eventos nacionais (JOPARPET). Respeita as decisões do grupo e sempre incentiva a construção coletiva, salvo os casos em que a proposta seja inviável ou imprópria.
Um ponto negativo é que o tutor é muito inseguro com relação a projetos mais ousados, como pesquisas com aulas de campo. Nesses casos, ele toma sempre a posição contrária a tais ideias."	Prático e funcional. Pode ser muito simplista, mas garante que mais pessoas realizem a avaliação.
Comunidades do Campo	20167478	Frequentemente	Frequentemente	Frequentemente	Sempre	Frequentemente	Sempre	Sempre	Frequentemente	Sempre	Sempre	Sempre	Frequentemente	Sempre	Sempre	Nunca	Frequentemente		Bom
Química	201383858	Sempre	Às vezes	Sempre	Sempre	Frequentemente	Sempre	Frequentemente	Frequentemente	Não sei	Sempre	Sempre	Sempre	Às vezes	Sempre	Nunca	Frequentemente		
Engenharia Elétrica	GRR20158521	Sempre	Frequentemente	Sempre	Sempre	Frequentemente	Sempre	Sempre	Sempre	Frequentemente	Sempre	Frequentemente	Frequentemente	Raramente	Às vezes	Nunca	Sempre		Muito bom
Engenharia Elétrica	20151339	Sempre	Às vezes	Raramente	Às vezes	Às vezes	Sempre	Frequentemente	Frequentemente	Sempre	Sempre	Sempre	Frequentemente	Raramente	Às vezes	Nunca	Frequentemente		
Filosofia	20132955	Sempre	Frequentemente	Frequentemente	Frequentemente	Frequentemente	Sempre	Frequentemente	Frequentemente	Sempre	Sempre	Sempre	Frequentemente	Não sei	Não sei	Nunca	Sempre		
Engenharia Elétrica	20147957	Sempre	Às vezes	Sempre	Sempre	Sempre	Sempre	Sempre	Frequentemente	Sempre	Frequentemente	Frequentemente	Frequentemente	Raramente	Frequentemente	Não sei	Frequentemente		Ótimo
